figi,name,ticker,exchCode,compositeFIGI,uniqueID,securityType,marketSector,shareClassFIGI,uniqueIDFutOpt,securityType2,securityDescription
BBG0077VNXV6,PAYPAL HOLDINGS INC,PYPL,US,BBG0077VNXV6,,Common Stock,Equity,BBG0077VNXW5,,Common Stock,PYPL
BBG000CDZLV8,PENN NATIONAL GAMING INC,PENN,US,BBG000CDZLV8,,Common Stock,Equity,BBG001S80PY6,,Common Stock,PENN
BBG000C221G9,PENTAIR PLC,PNR,US,BBG000C221G9,,Common Stock,Equity,BBG001S69VB3,,Common Stock,PNR
BBG000BQT4L6,PEOPLE'S UNITED FINANCIAL,PBCT,US,BBG000BQT4L6,,Common Stock,Equity,BBG001S5V144,,Common Stock,PBCT
BBG000DH7JK6,PEPSICO INC,PEP,US,BBG000DH7JK6,,Common Stock,Equity,BBG001S695T1,,Common Stock,PEP
BBG000FXW512,PERKINELMER INC,PKI,US,BBG000FXW512,,Common Stock,Equity,BBG001SBKS35,,Common Stock,PKI
BBG000BR2B91,PFIZER INC,PFE,US,BBG000BR2B91,,Common Stock,Equity,BBG001S5V466,,Common Stock,PFE
BBG000J2XL74,PHILIP MORRIS INTERNATIONAL,PM,US,BBG000J2XL74,,Common Stock,Equity,BBG001STP9N1,,Common Stock,PM
BBG00286S4N9,PHILLIPS 66,PSX,US,BBG00286S4N9,,Common Stock,Equity,BBG00286S4P7,,Common Stock,PSX
BBG000BRDSX5,PINNACLE WEST CAPITAL,PNW,US,BBG000BRDSX5,,Common Stock,Equity,BBG001S5VB15,,Common Stock,PNW
BBG000BXRPH1,PIONEER NATURAL RESOURCES CO,PXD,US,BBG000BXRPH1,,Common Stock,Equity,BBG001S7V1J4,,Common Stock,PXD
BBG000BRD0D8,PNC FINANCIAL SERVICES GROUP,PNC,US,BBG000BRD0D8,,Common Stock,Equity,BBG001S5V947,,Common Stock,PNC
BBG000BCVG28,POOL CORP,POOL,US,BBG000BCVG28,,Common Stock,Equity,BBG001S5VBK4,,Common Stock,POOL
BBG000BRJ809,PPG INDUSTRIES INC,PPG,US,BBG000BRJ809,,Common Stock,Equity,BBG001S5VC13,,Common Stock,PPG
BBG000BRJL00,PPL CORP,PPL,US,BBG000BRJL00,,Common Stock,Equity,BBG001S5VC31,,Common Stock,PPL
BBG000NSCNT7,PRINCIPAL FINANCIAL GROUP,PFG,US,BBG000NSCNT7,,Common Stock,Equity,BBG001SD3148,,Common Stock,PFG
BBG000BR2TH3,PROCTER & GAMBLE CO/THE,PG,US,BBG000BR2TH3,,Common Stock,Equity,BBG001S5V4L9,,Common Stock,PG
BBG000BR37X2,PROGRESSIVE CORP,PGR,US,BBG000BR37X2,,Common Stock,Equity,BBG001S5V509,,Common Stock,PGR
BBG000B9Z0J8,PROLOGIS INC,PLD,US,BBG000B9Z0J8,,REIT,Equity,BBG001S5NMN6,,REIT,PLD
BBG000HCJMF9,PRUDENTIAL FINANCIAL INC,PRU,US,BBG000HCJMF9,,Common Stock,Equity,BBG001S97MM7,,Common Stock,PRU
BBG000C2VBB0,PTC INC,PTC,US,BBG000C2VBB0,,Common Stock,Equity,BBG001S6DNK6,,Common Stock,PTC
BBG000BQZMH4,PUBLIC SERVICE ENTERPRISE GP,PEG,US,BBG000BQZMH4,,Common Stock,Equity,BBG001S5V3C1,,Common Stock,PEG
BBG000BPPN67,PUBLIC STORAGE,PSA,US,BBG000BPPN67,,REIT,Equity,BBG001S5TH79,,REIT,PSA
BBG000BR54L0,PULTEGROUP INC,PHM,US,BBG000BR54L0,,Common Stock,Equity,BBG001S5V5K7,,Common Stock,PHM
BBG000BRRG02,PVH CORP,PVH,US,BBG000BRRG02,,Common Stock,Equity,BBG001S5VGY8,,Common Stock,PVH
BBG000BBL8V7,QUANTA SERVICES INC,PWR,US,BBG000BBL8V7,,Common Stock,Equity,BBG001S5VH85,,Common Stock,PWR
BBG007TJF1N7,QORVO INC,QRVO,US,BBG007TJF1N7,,Common Stock,Equity,BBG007TJF1P5,,Common Stock,QRVO
BBG000CGC1X8,QUALCOMM INC,QCOM,US,BBG000CGC1X8,,Common Stock,Equity,BBG001S6VS70,,Common Stock,QCOM
BBG000C1XVK6,EVEREST RE GROUP LTD,RE,US,BBG000C1XVK6,,Common Stock,Equity,BBG001S7QT63,,Common Stock,RE
BBG000BS0ZF1,RALPH LAUREN CORP,RL,US,BBG000BS0ZF1,,Common Stock,Equity,BBG001S9TL45,,Common Stock,RL
BBG000BS73J1,RAYMOND JAMES FINANCIAL INC,RJF,US,BBG000BS73J1,,Common Stock,Equity,BBG001S5VQ03,,Common Stock,RJF
BBG000BW8S60,RAYTHEON TECHNOLOGIES CORP,RTX,US,BBG000BW8S60,,Common Stock,Equity,BBG001S5X5Q9,,Common Stock,RTX
