,Open,High,Low,Close,Adj Close,Volume
2022-01-03 09:30:00-05:00,209.0,209.0,208.1699981689453,208.64999389648438,208.64999389648438,22456.0
2022-01-03 09:31:00-05:00,208.0688018798828,208.0688018798828,208.0688018798828,208.0688018798828,208.0688018798828,1272.0
2022-01-03 09:32:00-05:00,208.16000366210938,208.42999267578125,208.1300048828125,208.20620727539062,208.20620727539062,1976.0
2022-01-03 09:33:00-05:00,208.18499755859375,208.36000061035156,207.7032012939453,208.14999389648438,208.14999389648438,4302.0
2022-01-03 09:34:00-05:00,207.8000030517578,208.08999633789062,207.73500061035156,207.73500061035156,207.73500061035156,1299.0
2022-01-03 09:35:00-05:00,207.5800018310547,207.86000061035156,207.24530029296875,207.86000061035156,207.86000061035156,4468.0
2022-01-03 09:36:00-05:00,207.5399932861328,208.10000610351562,207.47000122070312,207.64999389648438,207.64999389648438,7360.0
2022-01-03 09:37:00-05:00,207.5800018310547,207.60000610351562,207.4188995361328,207.60000610351562,207.60000610351562,1733.0
2022-01-03 09:38:00-05:00,207.27000427246094,207.7100067138672,207.24000549316406,207.6999969482422,207.6999969482422,5141.0
2022-01-03 09:39:00-05:00,207.86000061035156,207.9499969482422,207.8300018310547,207.83999633789062,207.83999633789062,2111.0
2022-01-03 09:40:00-05:00,207.80499267578125,207.80499267578125,207.36000061035156,207.4600067138672,207.4600067138672,2766.0
2022-01-03 09:41:00-05:00,207.375,207.55999755859375,207.375,207.52000427246094,207.52000427246094,2185.0
2022-01-03 09:42:00-05:00,207.32000732421875,207.32000732421875,207.0800018310547,207.0800018310547,207.0800018310547,2200.0
2022-01-03 09:43:00-05:00,207.00999450683594,207.1999969482422,207.0,207.1300048828125,207.1300048828125,1654.0
2022-01-03 09:44:00-05:00,206.97999572753906,207.3000030517578,206.9499969482422,207.08999633789062,207.08999633789062,5184.0
2022-01-03 09:45:00-05:00,207.27000427246094,207.36000061035156,207.11509704589844,207.11509704589844,207.11509704589844,1525.0
2022-01-03 09:46:00-05:00,207.22000122070312,207.22000122070312,206.8000030517578,207.08999633789062,207.08999633789062,3981.0
2022-01-03 09:47:00-05:00,206.8800048828125,206.8800048828125,206.52000427246094,206.52000427246094,206.52000427246094,4180.0
2022-01-03 09:48:00-05:00,206.36000061035156,206.5500030517578,206.0399932861328,206.3300018310547,206.3300018310547,9981.0
2022-01-03 09:49:00-05:00,206.35000610351562,206.35000610351562,206.02999877929688,206.2550048828125,206.2550048828125,4242.0
2022-01-03 09:50:00-05:00,206.19000244140625,206.19000244140625,206.01499938964844,206.17999267578125,206.17999267578125,3024.0
2022-01-03 09:51:00-05:00,206.36000061035156,206.50999450683594,206.28500366210938,206.50999450683594,206.50999450683594,3305.0
2022-01-03 09:52:00-05:00,206.5050048828125,206.6199951171875,206.39010620117188,206.5500030517578,206.5500030517578,1419.0
2022-01-03 09:53:00-05:00,206.5399932861328,206.5399932861328,206.5399932861328,206.5399932861328,206.5399932861328,205.0
2022-01-03 09:54:00-05:00,206.45010375976562,206.67999267578125,206.35000610351562,206.42999267578125,206.42999267578125,4528.0
2022-01-03 09:55:00-05:00,206.24000549316406,206.35000610351562,206.11000061035156,206.13999938964844,206.13999938964844,3438.0
2022-01-03 09:56:00-05:00,206.1699981689453,206.32000732421875,206.0800018310547,206.1999969482422,206.1999969482422,2810.0
2022-01-03 09:57:00-05:00,206.0,206.0,205.80999755859375,205.85769653320312,205.85769653320312,2791.0
2022-01-03 09:58:00-05:00,205.92999267578125,206.14999389648438,205.88499450683594,205.97000122070312,205.97000122070312,6006.0
