,Open,High,Low,Close,Adj Close,Volume
2022-01-03 09:30:00-05:00,115.83999633789062,116.36000061035156,115.72059631347656,116.27999877929688,116.27999877929688,31722.0
2022-01-03 09:31:00-05:00,116.01629638671875,116.01629638671875,116.01629638671875,116.01629638671875,116.01629638671875,6097.0
2022-01-03 09:32:00-05:00,115.8499984741211,116.06999969482422,115.47000122070312,115.75,115.75,14140.0
2022-01-03 09:33:00-05:00,115.7300033569336,115.94000244140625,115.58000183105469,115.73999786376953,115.73999786376953,4255.0
2022-01-03 09:34:00-05:00,115.7300033569336,115.7300033569336,115.44999694824219,115.58000183105469,115.58000183105469,1136.0
2022-01-03 09:35:00-05:00,115.58000183105469,115.63999938964844,115.45500183105469,115.56500244140625,115.56500244140625,2620.0
2022-01-03 09:36:00-05:00,115.45999908447266,115.72000122070312,115.45999908447266,115.72000122070312,115.72000122070312,4595.0
2022-01-03 09:37:00-05:00,115.62999725341797,115.62999725341797,115.31999969482422,115.31999969482422,115.31999969482422,6631.0
2022-01-03 09:38:00-05:00,115.31500244140625,115.37999725341797,115.05000305175781,115.33000183105469,115.33000183105469,5443.0
2022-01-03 09:39:00-05:00,115.33000183105469,115.38999938964844,115.25,115.31999969482422,115.31999969482422,1007.0
2022-01-03 09:40:00-05:00,115.3499984741211,115.44999694824219,115.1500015258789,115.1500015258789,115.1500015258789,2500.0
2022-01-03 09:41:00-05:00,115.20469665527344,115.30000305175781,115.05500030517578,115.0999984741211,115.0999984741211,4841.0
2022-01-03 09:42:00-05:00,115.05999755859375,115.16649627685547,115.01000213623047,115.09010314941406,115.09010314941406,3180.0
2022-01-03 09:43:00-05:00,115.19999694824219,115.23500061035156,115.06999969482422,115.06999969482422,115.06999969482422,921.0
2022-01-03 09:44:00-05:00,115.08000183105469,115.12999725341797,115.08000183105469,115.12999725341797,115.12999725341797,1035.0
2022-01-03 09:45:00-05:00,115.19000244140625,115.19000244140625,115.13500213623047,115.13999938964844,115.13999938964844,5013.0
2022-01-03 09:46:00-05:00,115.08000183105469,115.08000183105469,114.83999633789062,114.83999633789062,114.83999633789062,6718.0
2022-01-03 09:47:00-05:00,114.7699966430664,114.7699966430664,114.625,114.73999786376953,114.73999786376953,1868.0
2022-01-03 09:48:00-05:00,114.55000305175781,114.62999725341797,114.30999755859375,114.52999877929688,114.52999877929688,13342.0
2022-01-03 09:49:00-05:00,114.4749984741211,114.5199966430664,114.41000366210938,114.43000030517578,114.43000030517578,5124.0
2022-01-03 09:50:00-05:00,114.51499938964844,114.55500030517578,114.26000213623047,114.4000015258789,114.4000015258789,3828.0
2022-01-03 09:51:00-05:00,114.2699966430664,114.4749984741211,114.2699966430664,114.41999816894531,114.41999816894531,5467.0
2022-01-03 09:52:00-05:00,114.56999969482422,114.58999633789062,114.36000061035156,114.36000061035156,114.36000061035156,5286.0
2022-01-03 09:53:00-05:00,114.4000015258789,114.4000015258789,114.18000030517578,114.28500366210938,114.28500366210938,5071.0
2022-01-03 09:54:00-05:00,114.2699966430664,114.33999633789062,114.19000244140625,114.19000244140625,114.19000244140625,6068.0
2022-01-03 09:55:00-05:00,114.21700286865234,114.21700286865234,114.16000366210938,114.18009948730469,114.18009948730469,1500.0
2022-01-03 09:56:00-05:00,114.17649841308594,114.5999984741211,114.16000366210938,114.5199966430664,114.5199966430664,3737.0
2022-01-03 09:57:00-05:00,114.51000213623047,114.5999984741211,114.4800033569336,114.5199966430664,114.5199966430664,5165.0
2022-01-03 09:58:00-05:00,114.55500030517578,114.5999984741211,114.4000015258789,114.4000015258789,114.4000015258789,9925.0
2022-01-03 09:59:00-05:00,114.31500244140625,114.4000015258789,114.05999755859375,114.16500091552734,114.16500091552734,5197.0
