,Open,High,Low,Close,Adj Close,Volume
2022-01-03 09:30:00-05:00,114.06999969482422,114.06999969482422,114.06999969482422,114.06999969482422,114.06999969482422,5260.0
2022-01-03 09:31:00-05:00,114.00499725341797,114.00499725341797,114.00499725341797,114.00499725341797,114.00499725341797,824.0
2022-01-03 09:32:00-05:00,113.80999755859375,113.91000366210938,113.54499816894531,113.54499816894531,113.54499816894531,742.0
2022-01-03 09:33:00-05:00,113.52010345458984,113.53500366210938,113.52010345458984,113.53500366210938,113.53500366210938,406.0
2022-01-03 09:34:00-05:00,113.9000015258789,113.9000015258789,113.9000015258789,113.9000015258789,113.9000015258789,1480.0
2022-01-03 09:37:00-05:00,113.94000244140625,114.0250015258789,113.79000091552734,113.79000091552734,113.79000091552734,1519.0
2022-01-03 09:38:00-05:00,113.66999816894531,113.66999816894531,113.66999816894531,113.66999816894531,113.66999816894531,850.0
2022-01-03 09:41:00-05:00,113.93499755859375,113.93499755859375,113.83000183105469,113.83000183105469,113.83000183105469,270.0
2022-01-03 09:42:00-05:00,114.02999877929688,114.16000366210938,114.01499938964844,114.0999984741211,114.0999984741211,1394.0
2022-01-03 09:43:00-05:00,114.05000305175781,114.05500030517578,113.98999786376953,113.98999786376953,113.98999786376953,1017.0
2022-01-03 09:44:00-05:00,113.98999786376953,114.06500244140625,113.98999786376953,114.06500244140625,114.06500244140625,839.0
2022-01-03 09:45:00-05:00,114.04000091552734,114.04000091552734,114.04000091552734,114.04000091552734,114.04000091552734,271.0
2022-01-03 09:46:00-05:00,113.95999908447266,113.95999908447266,113.81999969482422,113.81999969482422,113.81999969482422,1569.0
2022-01-03 09:47:00-05:00,113.80999755859375,113.80999755859375,113.66000366210938,113.66000366210938,113.66000366210938,646.0
2022-01-03 09:49:00-05:00,113.22000122070312,113.3499984741211,113.0999984741211,113.30999755859375,113.30999755859375,670.0
2022-01-03 09:50:00-05:00,113.26000213623047,113.3499984741211,113.26000213623047,113.26499938964844,113.26499938964844,2420.0
2022-01-03 09:51:00-05:00,113.37000274658203,113.81999969482422,113.37000274658203,113.81999969482422,113.81999969482422,2065.0
2022-01-03 09:55:00-05:00,113.93000030517578,113.96499633789062,113.86000061035156,113.96499633789062,113.96499633789062,854.0
2022-01-03 09:56:00-05:00,114.01000213623047,114.11000061035156,113.98999786376953,114.11000061035156,114.11000061035156,988.0
2022-01-03 09:57:00-05:00,113.98999786376953,113.98999786376953,113.83000183105469,113.83000183105469,113.83000183105469,1139.0
2022-01-03 09:58:00-05:00,113.9800033569336,113.9800033569336,113.94999694824219,113.94999694824219,113.94999694824219,430.0
2022-01-03 09:59:00-05:00,113.83000183105469,113.83000183105469,113.83000183105469,113.83000183105469,113.83000183105469,431.0
2022-01-03 10:00:00-05:00,114.0,114.05000305175781,113.9800033569336,113.9800033569336,113.9800033569336,850.0
2022-01-03 10:02:00-05:00,113.91000366210938,113.93000030517578,113.70999908447266,113.91000366210938,113.91000366210938,3588.0
2022-01-03 10:03:00-05:00,113.9000015258789,113.93000030517578,113.80000305175781,113.80000305175781,113.80000305175781,1259.0
2022-01-03 10:04:00-05:00,113.9000015258789,113.91000366210938,113.88999938964844,113.91000366210938,113.91000366210938,1189.0
2022-01-03 10:05:00-05:00,114.16000366210938,114.27999877929688,114.02999877929688,114.13500213623047,114.13500213623047,1011.0
2022-01-03 10:06:00-05:00,114.23999786376953,114.23999786376953,114.23999786376953,114.23999786376953,114.23999786376953,170.0
2022-01-03 10:07:00-05:00,114.15499877929688,114.27999877929688,114.15499877929688,114.27999877929688,114.27999877929688,1419.0
2022-01-03 10:09:00-05:00,114.29000091552734,114.37000274658203,114.23999786376953,114.23999786376953,114.23999786376953,1485.0
2022-01-03 10:10:00-05:00,114.31999969482422,114.31999969482422,114.23500061035156,114.23500061035156,114.23500061035156,1095.0
2022-01-03 10:11:00-05:00,114.4000015258789,114.5,114.38999938964844,114.5,114.5,1607.0
2022-01-03 10:12:00-05:00,114.52999877929688,114.75499725341797,114.48999786376953,114.75499725341797,114.75499725341797,1217.0
2022-01-03 10:13:00-05:00,114.72000122070312,114.72000122070312,114.72000122070312,114.72000122070312,114.72000122070312,117.0
2022-01-03 10:14:00-05:00,114.62000274658203,114.62000274658203,114.62000274658203,114.62000274658203,114.62000274658203,507.0
2022-01-03 10:15:00-05:00,114.73999786376953,114.73999786376953,114.45999908447266,114.45999908447266,114.45999908447266,3955.0
2022-01-03 10:16:00-05:00,114.54000091552734,114.66999816894531,114.54000091552734,114.66999816894531,114.66999816894531,1307.0
2022-01-03 10:17:00-05:00,114.65499877929688,114.80999755859375,114.65499877929688,114.80999755859375,114.80999755859375,628.0
2022-01-03 10:18:00-05:00,114.8499984741211,114.94999694824219,114.71620178222656,114.91000366210938,114.91000366210938,1989.0
2022-01-03 10:19:00-05:00,114.75,114.76499938964844,114.62000274658203,114.62999725341797,114.62999725341797,20352.0
2022-01-03 10:20:00-05:00,114.62999725341797,114.75,114.62999725341797,114.75,114.75,3688.0
2022-01-03 10:22:00-05:00,114.73999786376953,114.81999969482422,114.73999786376953,114.81999969482422,114.81999969482422,312.0
2022-01-03 10:23:00-05:00,114.83999633789062,114.93000030517578,114.83999633789062,114.93000030517578,114.93000030517578,1706.0
2022-01-03 10:24:00-05:00,114.91500091552734,114.9800033569336,114.76000213623047,114.76000213623047,114.76000213623047,5139.0
2022-01-03 10:27:00-05:00,114.72000122070312,114.80000305175781,114.72000122070312,114.74500274658203,114.74500274658203,722.0
